Date,7201-日産自動車(株),7202-いすゞ自動車(株),7203-トヨタ自動車(株),7205-日野自動車(株),7211-三菱自動車(株),7261-マツダ(株),7267-ホンダ,7269-スズキ(株),7270-(株)ＳＵＢＡＲＵ,7272-ヤマハ発動機(株),4502-武田薬品工業(株),4503-アステラス製薬(株),4506-大日本住友製薬(株),4507-塩野義製薬(株),4519-中外製薬(株),4523-エーザイ(株),4543-テルモ(株),4568-第一三共(株)
9/18/2019,-0.2,-17,-56,7,-7,-16.8,-11.5,5,-19,-15,15,-19,-56,16,300,100,-17,94
9/19/2019,-4.4,13.5,39,-6,1,-9.4,20,160,-28,-10,41,12,20,-29,140,14,53,26
9/20/2019,-7.1,-17,58,-4,1,-4.8,-47,187,1,14,-18,8,-62,46,60,-24,78,7
9/24/2019,3.5,15.5,-119,-9,0,-1,1.5,-158,25,11,69,-7.5,67,132,190,257,32,-174
9/25/2019,6.1,0,84,1,0,0.2,38.5,64,67,26,22,34.5,-26,-43,-20,-22,3,-175
9/26/2019,-25.9,5.5,-57,-14,4,11.5,-58.5,30,-23,-5,-91,9.5,-41,-115,-30,-144,-13,106
9/27/2019,-11.8,-24.5,-153,-17,-14,-24,-41.5,-1,-65,-14,-90,-29,-34,158,40,-2,6,-112
9/30/2019,20.1,-35.5,30,15,-18,-3.7,70,-65,-43,70,70,1,64,101,-140,41,59,-309
10/1/2019,-18.7,41.5,-87,-21,19,32.9,-50.5,63,-65,-61,9,-6,-35,-41,-60,-85,-85,46
10/2/2019,-17.6,-26.5,-177,-18,-8,-34.8,-75.5,-182,-49,-30,-86,-21.5,-89,-105,-110,-113,-41,34
10/3/2019,2.2,-52,13,6,-13,-23.6,12.5,6,18,1,-43,-32,-5,16,60,78,-77,51
10/4/2019,-3,-5,-9,3,1,7.2,-25,-14,-5.5,0,-19,17.5,-11,66,20,-7,12,0
10/7/2019,3.7,12.5,101,2,1,4.5,-6,23,40.5,13,73,9,42,-16,90,46,26,-8
10/8/2019,-7.3,-1.5,38,-7,1,6.2,19,-63,-12.5,-28,5,30,17,-140,-60,-122,93,4
